RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
1,Patrick Mahomes,QB,4967.0,37.0,11.0,65.0,366.0,3.0,0.0,0.0,0.0,449.5,26.4
2,Jalen Hurts,QB,3905.0,28.0,10.0,174.0,833.0,10.0,0.0,0.0,0.0,440.3,25.9
3,Josh Allen,QB,4077.0,31.0,19.0,121.0,704.0,6.0,0.0,0.0,0.0,405.5,23.9
4,Lamar Jackson,QB,3705.0,28.0,16.0,138.0,887.0,3.0,0.0,0.0,0.0,383.2,22.5
5,Joe Burrow,QB,4316.0,29.0,13.0,65.0,265.0,4.0,0.0,0.0,0.0,364.9,21.5
6,Justin Fields,QB,2733.0,23.0,19.0,172.0,1176.0,6.0,0.0,0.0,0.0,355.5,20.9
7,Justin Herbert,QB,4752.0,29.0,14.0,55.0,174.0,1.0,0.0,0.0,0.0,354.0,20.8
8,Kirk Cousins,QB,4617.0,30.0,13.0,30.0,97.0,2.0,0.0,0.0,0.0,352.8,20.8
9,Deshaun Watson,QB,3815.0,23.0,16.0,107.0,553.0,7.0,0.0,0.0,0.0,352.0,20.7
10,Jared Goff,QB,4299.0,30.0,7.0,32.0,80.0,1.0,0.0,0.0,0.0,342.5,20.1
11,Trevor Lawrence,QB,4043.0,27.0,12.0,60.0,283.0,4.0,0.0,0.0,0.0,333.6,19.6
12,Daniel Jones,QB,3315.0,22.0,9.0,115.0,670.0,4.0,0.0,0.0,0.0,330.3,19.4
13,Dak Prescott,QB,3892.0,29.0,16.0,66.0,269.0,2.0,0.0,0.0,0.0,327.9,19.3
14,Aaron Rodgers,QB,4378.0,25.0,7.0,30.0,83.0,2.0,0.0,0.0,0.0,323.9,19.1
15,Geno Smith,QB,4012.0,26.0,13.0,64.0,326.0,1.0,0.0,0.0,0.0,320.1,18.8
16,Russell Wilson,QB,3897.0,22.0,13.0,66.0,355.0,4.0,0.0,0.0,0.0,315.0,18.5
17,Tua Tagovailoa,QB,4463.0,25.0,15.0,38.0,105.0,1.0,0.0,0.0,0.0,312.0,18.4
18,Anthony Richardson,QB,2937.0,17.0,20.0,200.0,1038.0,5.0,0.0,0.0,0.0,309.9,18.2
19,Austin Ekeler,RB,0.0,0.0,0.0,175.0,736.0,11.0,85.0,602.0,5.0,309.6,18.2
20,Justin Jefferson,RB,0.0,0.0,0.0,3.0,15.0,1.0,104.0,1492.0,6.0,297.2,17.5
21,Brock Purdy,QB,3567.0,26.0,8.0,37.0,43.0,2.0,0.0,0.0,0.0,296.8,17.5
22,Christian McCaffrey,RB,0.0,0.0,0.0,200.0,957.0,7.0,66.0,587.0,5.0,289.0,17.0
23,Kyler Murray,QB,3483.0,18.0,20.0,97.0,556.0,4.0,0.0,0.0,0.0,280.4,16.5
24,Cooper Kupp,RB,0.0,0.0,0.0,9.0,54.0,1.0,98.0,1183.0,9.0,279.9,16.5
25,Kenny Pickett,QB,3696.0,19.0,16.0,68.0,336.0,3.0,0.0,0.0,0.0,277.1,16.3
26,Ja'Marr Chase,WR,0.0,0.0,0.0,6.0,16.0,0.0,95.0,1236.0,10.0,276.7,16.3
