RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
1,Patrick Mahomes,QB,4696.0,39.0,11.0,59.0,333.0,3.0,0.0,0.0,0.0,462.1,23.2
2,Josh Allen,QB,4182.0,31.0,13.0,113.0,628.0,6.0,0.0,0.0,0.0,439.1,22.4
3,Joe Burrow,QB,4503.0,33.0,12.0,70.0,255.0,5.0,0.0,0.0,0.0,421.6,21.0
4,Jalen Hurts,QB,3507.0,22.0,10.0,142.0,670.0,12.0,0.0,0.0,0.0,401.3,22.5
5,Lamar Jackson,QB,3358.0,25.0,12.0,143.0,922.0,5.0,0.0,0.0,0.0,394.5,21.8
6,Justin Fields,QB,3195.0,21.0,12.0,139.0,912.0,6.0,0.0,0.0,0.0,369.0,20.6
7,Justin Herbert,QB,4305.0,30.0,11.0,60.0,202.0,1.0,0.0,0.0,0.0,367.4,18.5
8,Deshaun Watson,QB,3760.0,25.0,11.0,99.0,485.0,4.0,0.0,0.0,0.0,361.9,18.6
9,Kirk Cousins,QB,4491.0,28.0,12.0,30.0,102.0,2.0,0.0,0.0,0.0,357.8,17.8
10,Trevor Lawrence,QB,3895.0,26.0,13.0,64.0,305.0,4.0,0.0,0.0,0.0,353.3,17.6
11,Dak Prescott,QB,4094.0,26.0,13.0,58.0,242.0,3.0,0.0,0.0,0.0,349.0,17.6
12,Geno Smith,QB,3922.0,27.0,12.0,55.0,275.0,1.0,0.0,0.0,0.0,340.4,17.0
13,Aaron Rodgers,QB,4017.0,28.0,10.0,36.0,110.0,1.0,0.0,0.0,0.0,335.7,16.8
14,Russell Wilson,QB,3845.0,23.0,11.0,63.0,323.0,3.0,0.0,0.0,0.0,331.1,16.9
15,Tua Tagovailoa,QB,3918.0,26.0,12.0,45.0,140.0,2.0,0.0,0.0,0.0,326.7,17.2
16,Daniel Jones,QB,3385.0,20.0,10.0,101.0,554.0,4.0,0.0,0.0,0.0,324.8,17.9
17,Justin Jefferson,WR,0.0,0.0,0.0,4.0,23.0,0.0,116.0,1498.0,9.0,322.3,21.5
18,Ja'Marr Chase,WR,0.0,0.0,0.0,4.0,21.0,0.0,102.0,1454.0,11.0,313.2,20.9
19,Cooper Kupp,WR,0.0,0.0,0.0,11.0,67.0,0.0,122.0,1432.0,6.0,311.2,20.7
20,Matthew Stafford,QB,4285.0,21.0,13.0,29.0,70.0,1.0,0.0,0.0,0.0,297.4,15.9
21,Anthony Richardson,QB,2893.0,16.0,13.0,118.0,652.0,5.0,0.0,0.0,0.0,293.9,16.2
22,Tyreek Hill,WR,0.0,0.0,0.0,8.0,49.0,1.0,104.0,1346.0,8.0,293.8,19.6
23,Davante Adams,WR,0.0,0.0,0.0,2.0,12.0,0.0,96.0,1479.0,7.0,287.8,19.2
24,Travis Kelce,TE,0.0,0.0,0.0,4.0,15.0,0.0,101.0,1143.0,10.0,278.3,18.6
25,Austin Ekeler,RB,0.0,0.0,0.0,193.0,836.0,9.0,67.0,500.0,3.0,273.9,19.6
26,Christian McCaffrey,RB,0.0,0.0,0.0,192.0,873.0,7.0,69.0,547.0,3.0,270.8,19.3
27,Stefon Diggs,WR,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1206.0,8.0,264.4,17.6
