RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
1,Josh Allen,QB,4440.0,30.3,14.4,,689.6,5.4,0.0,0.0,0.0,445.9,26.2
2,Joe Burrow,QB,4780.5,33.7,14.2,,423.6,3.7,0.0,0.0,0.0,443.9,26.1
3,Patrick Mahomes,QB,5173.6,33.1,12.9,,326.5,2.9,0.0,0.0,0.0,442.4,26.0
4,Jalen Hurts,QB,3938.9,24.9,14.3,,930.4,7.7,0.0,0.0,0.0,431.6,25.4
5,Justin Herbert,QB,4813.2,31.7,15.9,,184.8,2.0,0.0,0.0,0.0,396.9,23.3
6,Deshaun Watson,QB,4021.6,28.1,10.3,,511.6,3.2,0.0,0.0,0.0,390.0,22.9
7,Lamar Jackson,QB,3479.8,20.1,11.5,,998.8,6.8,0.0,0.0,0.0,389.1,22.9
8,Dak Prescott ,QB,4202.2,30.7,13.3,,304.6,2.7,0.0,0.0,0.0,386.1,22.7
9,Geno Smith ,QB,4258.9,28.9,12.8,,345.4,2.3,0.0,0.0,0.0,379.3,22.3
10,Kirk Cousins ,QB,4607.3,31.1,14.0,,63.8,1.2,0.0,0.0,0.0,370.8,21.8
11,Daniel Jones,QB,3629.8,19.9,11.9,,750.8,5.7,0.0,0.0,0.0,361.8,21.3
12,Aaron Rodgers ,QB,4203.3,28.5,10.4,,163.3,1.7,0.0,0.0,0.0,355.1,20.9
13,Trevor Lawrence ,QB,4124.2,26.5,14.6,,275.9,2.9,0.0,0.0,0.0,354.4,20.8
14,Justin Fields,QB,2867.2,17.3,10.4,,1075.0,6.4,0.0,0.0,0.0,354.1,20.8
15,Jared Goff ,QB,4339.7,28.6,12.2,,84.5,1.1,0.0,0.0,0.0,348.3,20.5
16,Russell Wilson,QB,3921.9,24.7,10.3,,333.8,2.9,0.0,0.0,0.0,345.6,20.3
17,Derek Carr ,QB,4198.7,26.6,10.9,,81.7,1.2,0.0,0.0,0.0,331.8,19.5
18,CeeDee Lamb ,WR,0.0,0.0,0.0,,62.9,0.6,107.4,1548.4,8.7,324.0,19.1
19,Christian McCaffrey ,RB,0.0,0.0,0.0,,1098.8,8.3,73.3,664.2,3.9,323.2,19.0
20,Tua Tagovailoa ,QB,3988.9,25.1,13.6,,127.8,1.2,0.0,0.0,0.0,316.7,18.6
21,Austin Ekeler,RB,0.0,0.0,0.0,,1026.2,9.7,77.1,606.0,2.9,314.8,18.5
22,Brock Purdy ,QB,3548.2,24.8,12.2,,216.5,2.2,0.0,0.0,0.0,313.6,18.4
23,Tyreek Hill ,WR,0.0,0.0,0.0,,60.8,0.5,114.3,1438.6,7.7,313.1,18.4
