RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average,,,,,,,,,,,
1,Justin Jefferson,WR,0,0,0,6,32.8,0,115,1666,10,344.88,20.29,,,,,,,,,,,
2,Ja'Marr Chase,WR,0,0,0,9,46.9,0,112,1624,12,351.09,20.65,,,,,,,,,,,
3,Christian McCaffrey,WR,0,0,0,223,1075,8,72,601,4,311.6,18.33,,,,,,,,,,,
4,Austin Ekeler,WR,0,0,0,194,867,8,86,622,4,306.9,18.05,,,,,,,,,,,
5,Tyreek Hill,WR,0,0,0,16,89,0,104,1447,9,311.6,18.33,,,,,,,,,,,
6,Cooper Kupp,WR,0,0,0,4,22,0,114,1344,9,304.6,17.92,,,,,,,,,,,
7,Travis Kelce,TE,0,0,0,0,0,0,107,1285,11,301.5,17.74,,,,,,,,,,,
8,Stefon Diggs,WR,0,0,0,2,13,0,110,1359.00,10,307.2,18.07,,,,,,,,,,,
9,Bijan Robinson,RB,0,0,0,265,1186,9,46,351.00,1,259.7,15.28,,,,,,,,,,,
10,Nick Chubb,RB,0,0,0,282,1413,12,22,168.00,1,258.1,15.18,,,,,,,,,,,
11,CeeDee Lamb,WR,0,0,0,13,72,0,97,1271.00,9,285.3,16.78,,,,,,,,,,,
12,Tony Pollard,RB,0,0,0,219,998,7,51,395.00,2,244.3,14.37,,,,,,,,,,,
13,Saquon Barkley,RB,0,0,0,281,1211,9,54,419.00,2,283,16.65,,,,,,,,,,,
14,A.J. Brown,WR,0,0,0,8,45,0,88,1345,9,281,16.53,,,,,,,,,,,
15,Amon-Ra St. Brown,WR,0,0,0,9,57,0,107,1170,6,265.7,15.63,,,,,,,,,,,
16,Davante Adams,WR,0,0,0,1,5,0,103,1299,10,293.4,17.26,,,,,,,,,,,
17,Garrett Wilson,WR,0,0,0,7,43,0,88,1153,7,249.6,14.68,,,,,,,,,,,
18,Derrick Henry,RB,0,0,0,293,1259,12,24,176,1,245.5,14.44,,,,,,,,,,,
19,Josh Jacobs,RB,0,0,0,275,1169,8,41,304,1,242.3,14.25,,,,,,,,,,,
20,Jaylen Waddle,WR,0,0,0,7,41,0,84,1204,7,250.5,14.74,,,,,,,,,,,
21,Jonathan Taylor,RB,0,0,0,275,1209,10,36,296.00,2,258.5,15.21,,,,,,,,,,,
22,DeVonta Smith,WR,0,0,0,1,7,0,87,1163.00,7,246,14.47,,,,,,,,,,,
23,Chris Olave,WR,0,0,0,1,5,0,81,1154.00,7,238.9,14.05,,,,,,,,,,,
24,Jalen Hurts,QB,3684,23,9,156,798,10,0,0.00,0,416.16,24.48,,,,,,,,,,,
25,Travis Etienne Jr.,RB,0,0,0,241,1124,7,43,339.00,1,237.3,13.96,,,,,,,,,,,
26,Tee Higgins,WR,0,0,0,1,5,0,84,1163.00,7,242.8,14.28,,,,,,,,,,,
27,Joe Mixon,RB,0,0,0,211,906,7,40,292.00,1,207.8,12.22,,,,,,,,,,,
28,Aaron Jones,RB,0,0,0,203,882,5,45,357.00,2,210.90,12.41,,,,,,,,,,,
29,Najee Harris,RB,0,0,0,262,1065,7,41,280.00,1,223.50,13.15,,,,,,,,,,,
30,Patrick Mahomes,QB,4929,38,13,70,369,3,0,0.00,0,467.06,27.47,,,,,,,,,,,
31,DK Metcalf,WR,0,0,0,3,19,0,77,1005.00,7,221.40,13.02,,,,,,,,,,,
